Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Levitating,Dua Lipa,Future Nostalgia,2020,203807,4,0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,77
Love Again,Dua Lipa,Future Nostalgia,2021,258004,4,0.659,0.667,11,-4.668,0,0.0339,0.00173,0.0000285,0.1,0.468,115.982,72
New Rules,Dua Lipa,Dua Lipa (Deluxe),2017,209320,4,0.762,0.7,9,-6.021,0,0.0694,0.00261,0.0000156,0.153,0.608,116.073,82
Physical,Dua Lipa,Future Nostalgia,2020,193829,4,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,78
We're Good,Dua Lipa,Future Nostalgia (The Moonlight Edition),2021,165506,4,0.722,0.588,6,-5.932,1,0.0544,0.0319,0,0.183,0.59,134.01,68
Bad Habits,Ed Sheeran,=,2021,230746,4,0.807,0.893,11,-3.745,0,0.0347,0.0451,0.0000279,0.366,0.537,126.011,80
Castle on the Hill,Ed Sheeran,÷ (Deluxe),2017,261153,4,0.461,0.834,2,-4.868,1,0.0989,0.0232,0.0000114,0.14,0.471,135.007,78
Galway Girl,Ed Sheeran,÷ (Deluxe),2017,170826,4,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,77
Happier,Ed Sheeran,÷ (Deluxe),2018,207520,4,0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,75
I Don't Care (with Justin Bieber),Ed Sheeran,I Don't Care (with Justin Bieber),2019,219946,4,0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,74
Perfect,Ed Sheeran,÷ (Deluxe),2017,263400,3,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,86
Photograph,Ed Sheeran,x (Deluxe Edition),2015,258986,4,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,82
Shape of You,Ed Sheeran,÷ (Deluxe),2017,233712,4,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,85
Shivers,Ed Sheeran,=,2021,207853,4,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,82
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),2014,281560,4,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,81
Con Tus Besos,Eslabon Armado,Tu Veneno Mortal,2023,226821,3,0.681,0.664,6,-8.019,0,0.0353,0.335,0,0.0418,0.861,102.166,71
HASTA LA MUERTE,Eslabon Armado,NOSTALGIA,2022,209902,3,0.555,0.832,11,-3.691,1,0.0412,0.28,0,0.0894,0.43,170.124,74
Tú Eres,Eslabon Armado,Vibras de Noche,2023,245203,4,0.62,0.461,1,-7.688,1,0.0268,0.605,0.000029,0.0758,0.561,97.659,44
